utr,reference,amount,credit_date
UTR-NORM-148,STL-NORM-148,1446,2026-09-04T10:00:00.000Z
UTR-NORM-149,STL-NORM-149,1456,2026-09-04T10:00:00.000Z
UTR-NORM-150,STL-NORM-150,1465,2026-09-04T10:00:00.000Z
UTR-NORM-151,STL-NORM-151,1475,2026-09-04T10:00:00.000Z
UTR-NORM-152,STL-NORM-152,1485,2026-09-04T10:00:00.000Z
UTR-NORM-153,STL-NORM-153,1495,2026-09-04T10:00:00.000Z
UTR-NORM-154,STL-NORM-154,1505,2026-09-04T10:00:00.000Z
UTR-NORM-155,STL-NORM-155,1514,2026-09-04T10:00:00.000Z
UTR-NORM-156,STL-NORM-156,1524,2026-09-04T10:00:00.000Z
UTR-NORM-157,STL-NORM-157,1534,2026-09-04T10:00:00.000Z
UTR-NORM-158,STL-NORM-158,1544,2026-09-04T10:00:00.000Z
UTR-NORM-159,STL-NORM-159,1554,2026-09-04T10:00:00.000Z
UTR-NORM-160,STL-NORM-160,1563,2026-09-04T10:00:00.000Z
UTR-NORM-161,STL-NORM-161,1573,2026-09-04T10:00:00.000Z
UTR-NORM-162,STL-NORM-162,1583,2026-09-04T10:00:00.000Z
UTR-NORM-163,STL-NORM-163,1593,2026-09-04T10:00:00.000Z
UTR-NORM-164,STL-NORM-164,1603,2026-09-04T10:00:00.000Z
UTR-NORM-165,STL-NORM-165,1612,2026-09-04T10:00:00.000Z
UTR-NORM-166,STL-NORM-166,1622,2026-09-04T10:00:00.000Z
UTR-NORM-167,STL-NORM-167,1632,2026-09-04T10:00:00.000Z
UTR-NORM-168,STL-NORM-168,1642,2026-09-04T10:00:00.000Z
UTR-NORM-169,STL-NORM-169,1652,2026-09-04T10:00:00.000Z
UTR-NORM-170,STL-NORM-170,1660,2026-09-04T10:00:00.000Z
UTR-NORM-171,STL-NORM-171,1670,2026-09-04T10:00:00.000Z
UTR-NORM-172,STL-NORM-172,1680,2026-09-04T10:00:00.000Z
UTR-NORM-173,STL-NORM-173,1690,2026-09-04T10:00:00.000Z
UTR-NORM-174,STL-NORM-174,1700,2026-09-04T10:00:00.000Z
UTR-NORM-175,STL-NORM-175,1709,2026-09-04T10:00:00.000Z
UTR-NORM-176,STL-NORM-176,1719,2026-09-04T10:00:00.000Z
UTR-NORM-177,STL-NORM-177,1729,2026-09-04T10:00:00.000Z
UTR-NORM-178,STL-NORM-178,1739,2026-09-04T10:00:00.000Z
UTR-NORM-179,STL-NORM-179,1749,2026-09-04T10:00:00.000Z
UTR-NORM-180,STL-NORM-180,1758,2026-09-04T10:00:00.000Z
UTR-NORM-181,STL-NORM-181,1768,2026-09-04T10:00:00.000Z
UTR-NORM-182,STL-NORM-182,1778,2026-09-04T10:00:00.000Z
UTR-NORM-183,STL-NORM-183,1788,2026-09-04T10:00:00.000Z
UTR-NORM-184,STL-NORM-184,1798,2026-09-04T10:00:00.000Z
UTR-NORM-185,STL-NORM-185,1807,2026-09-04T10:00:00.000Z
UTR-NORM-186,STL-NORM-186,1817,2026-09-04T10:00:00.000Z
UTR-NORM-187,STL-NORM-187,1827,2026-09-04T10:00:00.000Z
UTR-NORM-188,STL-NORM-188,1837,2026-09-04T10:00:00.000Z
UTR-NORM-189,STL-NORM-189,1847,2026-09-04T10:00:00.000Z
UTR-NORM-190,STL-NORM-190,1856,2026-09-04T10:00:00.000Z
UTR-NORM-191,STL-NORM-191,1866,2026-09-04T10:00:00.000Z
UTR-NORM-192,STL-NORM-192,1876,2026-09-04T10:00:00.000Z
UTR-NORM-193,STL-NORM-193,1886,2026-09-04T10:00:00.000Z
UTR-NORM-194,STL-NORM-194,1896,2026-09-04T10:00:00.000Z
UTR-NORM-195,STL-NORM-195,1904,2026-09-04T10:00:00.000Z
UTR-NORM-196,STL-NORM-196,1914,2026-09-04T10:00:00.000Z
UTR-NORM-197,STL-NORM-197,1924,2026-09-04T10:00:00.000Z
UTR-NORM-198,STL-NORM-198,1934,2026-09-04T10:00:00.000Z
UTR-NORM-199,STL-NORM-199,1944,2026-09-04T10:00:00.000Z
UTR-NORM-200,STL-NORM-200,977,2026-09-04T10:00:00.000Z
UTR-NORM-201,STL-NORM-201,987,2026-09-04T10:00:00.000Z
UTR-NORM-202,STL-NORM-202,997,2026-09-04T10:00:00.000Z
UTR-NORM-203,STL-NORM-203,1007,2026-09-04T10:00:00.000Z
UTR-NORM-204,STL-NORM-204,1017,2026-09-04T10:00:00.000Z
UTR-NORM-205,STL-NORM-205,1026,2026-09-04T10:00:00.000Z
UTR-NORM-206,STL-NORM-206,1036,2026-09-04T10:00:00.000Z
UTR-NORM-207,STL-NORM-207,1046,2026-09-04T10:00:00.000Z
UTR-NORM-208,STL-NORM-208,1056,2026-09-04T10:00:00.000Z
UTR-NORM-209,STL-NORM-209,1066,2026-09-04T10:00:00.000Z
UTR-NORM-210,STL-NORM-210,1075,2026-09-04T10:00:00.000Z
UTR-NORM-211,STL-NORM-211,1085,2026-09-04T10:00:00.000Z
UTR-NORM-212,STL-NORM-212,1095,2026-09-04T10:00:00.000Z
UTR-NORM-213,STL-NORM-213,1105,2026-09-04T10:00:00.000Z
UTR-NORM-214,STL-NORM-214,1115,2026-09-04T10:00:00.000Z
UTR-NORM-215,STL-NORM-215,1123,2026-09-04T10:00:00.000Z
UTR-NORM-216,STL-NORM-216,1133,2026-09-04T10:00:00.000Z
UTR-NORM-217,STL-NORM-217,1143,2026-09-04T10:00:00.000Z
UTR-NORM-218,STL-NORM-218,1153,2026-09-04T10:00:00.000Z
UTR-NORM-219,STL-NORM-219,1163,2026-09-04T10:00:00.000Z
UTR-NORM-220,STL-NORM-220,1172,2026-09-04T10:00:00.000Z
UTR-NORM-221,STL-NORM-221,1182,2026-09-04T10:00:00.000Z
UTR-NORM-222,STL-NORM-222,1192,2026-09-04T10:00:00.000Z
UTR-NORM-223,STL-NORM-223,1202,2026-09-04T10:00:00.000Z
UTR-NORM-224,STL-NORM-224,1212,2026-09-04T10:00:00.000Z
UTR-NORM-225,STL-NORM-225,1221,2026-09-04T10:00:00.000Z
UTR-NORM-226,STL-NORM-226,1231,2026-09-04T10:00:00.000Z
UTR-NORM-227,STL-NORM-227,1241,2026-09-04T10:00:00.000Z
UTR-NORM-228,STL-NORM-228,1251,2026-09-04T10:00:00.000Z
UTR-NORM-229,STL-NORM-229,1261,2026-09-04T10:00:00.000Z
UTR-NORM-230,STL-NORM-230,1270,2026-09-04T10:00:00.000Z
UTR-NORM-231,STL-NORM-231,1280,2026-09-04T10:00:00.000Z
UTR-NORM-232,STL-NORM-232,1290,2026-09-04T10:00:00.000Z
UTR-NORM-233,STL-NORM-233,1300,2026-09-04T10:00:00.000Z
UTR-NORM-234,STL-NORM-234,1310,2026-09-04T10:00:00.000Z
UTR-NORM-235,STL-NORM-235,1319,2026-09-04T10:00:00.000Z
UTR-NORM-236,STL-NORM-236,1329,2026-09-04T10:00:00.000Z
UTR-NORM-237,STL-NORM-237,1339,2026-09-04T10:00:00.000Z
UTR-NORM-238,STL-NORM-238,1349,2026-09-04T10:00:00.000Z
UTR-NORM-239,STL-NORM-239,1359,2026-09-04T10:00:00.000Z
UTR-NORM-240,STL-NORM-240,1367,2026-09-04T10:00:00.000Z
UTR-NORM-241,STL-NORM-241,1377,2026-09-04T10:00:00.000Z
UTR-NORM-242,STL-NORM-242,1387,2026-09-04T10:00:00.000Z
UTR-NORM-243,STL-NORM-243,1397,2026-09-04T10:00:00.000Z
UTR-NORM-244,STL-NORM-244,1407,2026-09-04T10:00:00.000Z
UTR-NORM-245,STL-NORM-245,1416,2026-09-04T10:00:00.000Z
UTR-NORM-246,STL-NORM-246,1426,2026-09-04T10:00:00.000Z
UTR-NORM-247,STL-NORM-247,1436,2026-09-04T10:00:00.000Z
UTR-NORM-248,STL-NORM-248,1446,2026-09-04T10:00:00.000Z
UTR-NORM-249,STL-NORM-249,1456,2026-09-04T10:00:00.000Z
UTR-NORM-250,STL-NORM-250,1465,2026-09-04T10:00:00.000Z
UTR-NORM-251,STL-NORM-251,1475,2026-09-04T10:00:00.000Z
UTR-NORM-252,STL-NORM-252,1485,2026-09-04T10:00:00.000Z
UTR-NORM-253,STL-NORM-253,1495,2026-09-04T10:00:00.000Z
UTR-NORM-254,STL-NORM-254,1505,2026-09-04T10:00:00.000Z
UTR-NORM-255,STL-NORM-255,1514,2026-09-04T10:00:00.000Z
UTR-NORM-256,STL-NORM-256,1524,2026-09-04T10:00:00.000Z
UTR-NORM-257,STL-NORM-257,1534,2026-09-04T10:00:00.000Z
UTR-NORM-258,STL-NORM-258,1544,2026-09-04T10:00:00.000Z
UTR-NORM-259,STL-NORM-259,1554,2026-09-04T10:00:00.000Z
UTR-NORM-260,STL-NORM-260,1563,2026-09-04T10:00:00.000Z
UTR-NORM-261,STL-NORM-261,1573,2026-09-04T10:00:00.000Z
UTR-NORM-262,STL-NORM-262,1583,2026-09-04T10:00:00.000Z
UTR-NORM-263,STL-NORM-263,1593,2026-09-04T10:00:00.000Z
UTR-NORM-264,STL-NORM-264,1603,2026-09-04T10:00:00.000Z
UTR-NORM-265,STL-NORM-265,1612,2026-09-04T10:00:00.000Z
UTR-NORM-266,STL-NORM-266,1622,2026-09-04T10:00:00.000Z
UTR-NORM-267,STL-NORM-267,1632,2026-09-04T10:00:00.000Z
UTR-NORM-268,STL-NORM-268,1642,2026-09-04T10:00:00.000Z
UTR-NORM-269,STL-NORM-269,1652,2026-09-04T10:00:00.000Z
UTR-NORM-270,STL-NORM-270,1660,2026-09-04T10:00:00.000Z
UTR-NORM-271,STL-NORM-271,1670,2026-09-04T10:00:00.000Z
UTR-NORM-272,STL-NORM-272,1680,2026-09-04T10:00:00.000Z
UTR-NORM-273,STL-NORM-273,1690,2026-09-04T10:00:00.000Z
UTR-NORM-274,STL-NORM-274,1700,2026-09-04T10:00:00.000Z
UTR-NORM-275,STL-NORM-275,1709,2026-09-04T10:00:00.000Z
UTR-NORM-276,STL-NORM-276,1719,2026-09-04T10:00:00.000Z
UTR-NORM-277,STL-NORM-277,1729,2026-09-04T10:00:00.000Z
UTR-NORM-278,STL-NORM-278,1739,2026-09-04T10:00:00.000Z
UTR-NORM-279,STL-NORM-279,1749,2026-09-04T10:00:00.000Z
UTR-NORM-280,STL-NORM-280,1758,2026-09-04T10:00:00.000Z
UTR-NORM-281,STL-NORM-281,1768,2026-09-04T10:00:00.000Z
UTR-NORM-282,STL-NORM-282,1778,2026-09-04T10:00:00.000Z
UTR-NORM-283,STL-NORM-283,1788,2026-09-04T10:00:00.000Z
UTR-NORM-284,STL-NORM-284,1798,2026-09-04T10:00:00.000Z
UTR-NORM-285,STL-NORM-285,1807,2026-09-04T10:00:00.000Z
UTR-NORM-286,STL-NORM-286,1817,2026-09-04T10:00:00.000Z
UTR-NORM-287,STL-NORM-287,1827,2026-09-04T10:00:00.000Z
UTR-NORM-288,STL-NORM-288,1837,2026-09-04T10:00:00.000Z
UTR-NORM-289,STL-NORM-289,1847,2026-09-04T10:00:00.000Z
UTR-NORM-290,STL-NORM-290,1856,2026-09-04T10:00:00.000Z
UTR-NORM-291,STL-NORM-291,1866,2026-09-04T10:00:00.000Z
UTR-NORM-292,STL-NORM-292,1876,2026-09-04T10:00:00.000Z
UTR-NORM-293,STL-NORM-293,1886,2026-09-04T10:00:00.000Z
UTR-NORM-294,STL-NORM-294,1896,2026-09-04T10:00:00.000Z
UTR-NORM-295,STL-NORM-295,1904,2026-09-04T10:00:00.000Z
UTR-NORM-296,STL-NORM-296,1914,2026-09-04T10:00:00.000Z
UTR-NORM-297,STL-NORM-297,1924,2026-09-04T10:00:00.000Z
UTR-NORM-298,STL-NORM-298,1934,2026-09-04T10:00:00.000Z
UTR-NORM-299,STL-NORM-299,1944,2026-09-04T10:00:00.000Z
UTR-NORM-300,STL-NORM-300,977,2026-09-04T10:00:00.000Z
UTR-NORM-301,STL-NORM-301,987,2026-09-04T10:00:00.000Z
UTR-NORM-302,STL-NORM-302,997,2026-09-04T10:00:00.000Z
UTR-NORM-303,STL-NORM-303,1007,2026-09-04T10:00:00.000Z
UTR-NORM-304,STL-NORM-304,1017,2026-09-04T10:00:00.000Z
UTR-NORM-305,STL-NORM-305,1026,2026-09-04T10:00:00.000Z
UTR-NORM-306,STL-NORM-306,1036,2026-09-04T10:00:00.000Z
UTR-NORM-307,STL-NORM-307,1046,2026-09-04T10:00:00.000Z
UTR-NORM-308,STL-NORM-308,1056,2026-09-04T10:00:00.000Z
UTR-NORM-309,STL-NORM-309,1066,2026-09-04T10:00:00.000Z
UTR-NORM-310,STL-NORM-310,1075,2026-09-04T10:00:00.000Z
UTR-NORM-311,STL-NORM-311,1085,2026-09-04T10:00:00.000Z
UTR-NORM-312,STL-NORM-312,1095,2026-09-04T10:00:00.000Z
UTR-NORM-313,STL-NORM-313,1105,2026-09-04T10:00:00.000Z
UTR-NORM-314,STL-NORM-314,1115,2026-09-04T10:00:00.000Z
UTR-NORM-315,STL-NORM-315,1123,2026-09-04T10:00:00.000Z
UTR-NORM-316,STL-NORM-316,1133,2026-09-04T10:00:00.000Z
UTR-NORM-317,STL-NORM-317,1143,2026-09-04T10:00:00.000Z
UTR-NORM-318,STL-NORM-318,1153,2026-09-04T10:00:00.000Z
UTR-NORM-319,STL-NORM-319,1163,2026-09-04T10:00:00.000Z
UTR-NORM-320,STL-NORM-320,1172,2026-09-04T10:00:00.000Z
UTR-NORM-321,STL-NORM-321,1182,2026-09-04T10:00:00.000Z
UTR-NORM-322,STL-NORM-322,1192,2026-09-04T10:00:00.000Z
UTR-NORM-323,STL-NORM-323,1202,2026-09-04T10:00:00.000Z
UTR-NORM-324,STL-NORM-324,1212,2026-09-04T10:00:00.000Z
UTR-NORM-325,STL-NORM-325,1221,2026-09-04T10:00:00.000Z
UTR-NORM-326,STL-NORM-326,1231,2026-09-04T10:00:00.000Z
UTR-NORM-327,STL-NORM-327,1241,2026-09-04T10:00:00.000Z
UTR-NORM-328,STL-NORM-328,1251,2026-09-04T10:00:00.000Z
UTR-NORM-329,STL-NORM-329,1261,2026-09-04T10:00:00.000Z
UTR-NORM-330,STL-NORM-330,1270,2026-09-04T10:00:00.000Z
UTR-NORM-331,STL-NORM-331,1280,2026-09-04T10:00:00.000Z
UTR-NORM-332,STL-NORM-332,1290,2026-09-04T10:00:00.000Z
UTR-NORM-333,STL-NORM-333,1300,2026-09-04T10:00:00.000Z
UTR-NORM-334,STL-NORM-334,1310,2026-09-04T10:00:00.000Z
UTR-NORM-335,STL-NORM-335,1319,2026-09-04T10:00:00.000Z
UTR-NORM-336,STL-NORM-336,1329,2026-09-04T10:00:00.000Z
UTR-NORM-337,STL-NORM-337,1339,2026-09-04T10:00:00.000Z
UTR-NORM-338,STL-NORM-338,1349,2026-09-04T10:00:00.000Z
UTR-NORM-339,STL-NORM-339,1359,2026-09-04T10:00:00.000Z
UTR-NORM-340,STL-NORM-340,1367,2026-09-04T10:00:00.000Z
UTR-NORM-341,STL-NORM-341,1377,2026-09-04T10:00:00.000Z
UTR-NORM-342,STL-NORM-342,1387,2026-09-04T10:00:00.000Z
UTR-NORM-343,STL-NORM-343,1397,2026-09-04T10:00:00.000Z
UTR-NORM-344,STL-NORM-344,1407,2026-09-04T10:00:00.000Z
UTR-NORM-345,STL-NORM-345,1416,2026-09-04T10:00:00.000Z
UTR-NORM-346,STL-NORM-346,1426,2026-09-04T10:00:00.000Z
UTR-NORM-347,STL-NORM-347,1436,2026-09-04T10:00:00.000Z
UTR-NORM-348,STL-NORM-348,1446,2026-09-04T10:00:00.000Z
UTR-NORM-349,STL-NORM-349,1456,2026-09-04T10:00:00.000Z
UTR-NORM-350,STL-NORM-350,1465,2026-09-04T10:00:00.000Z
UTR-NORM-351,STL-NORM-351,1475,2026-09-04T10:00:00.000Z
UTR-NORM-352,STL-NORM-352,1485,2026-09-04T10:00:00.000Z
UTR-NORM-353,STL-NORM-353,1495,2026-09-04T10:00:00.000Z
UTR-NORM-354,STL-NORM-354,1505,2026-09-04T10:00:00.000Z
UTR-NORM-355,STL-NORM-355,1514,2026-09-04T10:00:00.000Z
UTR-NORM-356,STL-NORM-356,1524,2026-09-04T10:00:00.000Z
UTR-NORM-357,STL-NORM-357,1534,2026-09-04T10:00:00.000Z
UTR-NORM-358,STL-NORM-358,1544,2026-09-04T10:00:00.000Z
